x_voltage,y_voltage,z_voltage,x_gvalue,y_gvalue,z_gvalue,time
NA,NA,NA,0.020539,-0.015371,1.012465,1521533647.718956
NA,NA,NA,0.012328,-0.009957,1.006039,1521533647.723967
NA,NA,NA,0.006934,-0.016289,1.014785,1521533647.728975
NA,NA,NA,-0.006953,-0.016988,1.002219,1521533647.733979
NA,NA,NA,-0.010684,-0.014219,1.009645,1521533647.738985
NA,NA,NA,-0.020742,-0.014320,1.009840,1521533647.743992
NA,NA,NA,-0.034000,-0.008789,1.009242,1521533647.749009
NA,NA,NA,-0.042152,-0.012375,1.001129,1521533647.754022
NA,NA,NA,-0.049215,-0.013934,1.002832,1521533647.759035
NA,NA,NA,-0.059605,-0.016543,1.008055,1521533647.764039
NA,NA,NA,-0.071344,-0.008656,1.002246,1521533647.769055
NA,NA,NA,-0.077348,-0.013289,1.006645,1521533647.774056
NA,NA,NA,-0.083543,-0.017242,1.003219,1521533647.779060
NA,NA,NA,-0.096539,-0.014113,1.001242,1521533647.784070
NA,NA,NA,-0.103305,-0.015555,1.005828,1521533647.789209
NA,NA,NA,-0.112930,-0.012578,1.002695,1521533647.794219
NA,NA,NA,-0.123602,-0.011422,1.004262,1521533647.799228
NA,NA,NA,-0.130043,-0.011598,0.998219,1521533647.804231
NA,NA,NA,-0.134906,-0.011141,1.006211,1521533647.809243
NA,NA,NA,-0.144164,-0.020457,1.001078,1521533647.814243
NA,NA,NA,-0.152359,-0.014121,0.999852,1521533647.819254
NA,NA,NA,-0.157363,-0.016758,1.007605,1521533647.824269
NA,NA,NA,-0.165129,-0.010031,0.997738,1521533647.829274
NA,NA,NA,-0.170250,-0.015504,0.997738,1521533647.834289
NA,NA,NA,-0.177094,-0.015801,0.996906,1521533647.839295
NA,NA,NA,-0.178684,-0.018910,1.000430,1521533647.844295
NA,NA,NA,-0.182242,-0.014410,1.003328,1521533647.849305
NA,NA,NA,-0.188156,-0.014070,0.998852,1521533647.854320
NA,NA,NA,-0.190453,-0.015668,0.997449,1521533647.859336
NA,NA,NA,-0.193852,-0.014570,0.996773,1521533647.864340
NA,NA,NA,-0.194336,-0.018570,0.999793,1521533647.869343
NA,NA,NA,-0.198410,-0.017141,0.996918,1521533647.874345
NA,NA,NA,-0.194941,-0.018883,1.001516,1521533647.879351
NA,NA,NA,-0.196711,-0.018500,1.003395,1521533647.884593
NA,NA,NA,-0.199953,-0.015004,0.992773,1521533647.889598
NA,NA,NA,-0.198359,-0.013887,0.997191,1521533647.894598
NA,NA,NA,-0.190230,-0.017270,0.998867,1521533647.899604
NA,NA,NA,-0.194164,-0.016539,0.996574,1521533647.904610
NA,NA,NA,-0.192758,-0.013527,1.001730,1521533647.909612
NA,NA,NA,-0.187520,-0.018738,0.995449,1521533647.914617
NA,NA,NA,-0.181563,-0.017824,1.002555,1521533647.919632
NA,NA,NA,-0.179680,-0.016664,0.992043,1521533647.924643
NA,NA,NA,-0.174809,-0.015602,1.000844,1521533647.929645
NA,NA,NA,-0.164387,-0.021238,1.002844,1521533647.934709
NA,NA,NA,-0.162020,-0.015047,0.996461,1521533647.939719
NA,NA,NA,-0.155129,-0.022051,1.005973,1521533647.944725
NA,NA,NA,-0.152016,-0.018812,0.999273,1521533647.949729
NA,NA,NA,-0.143543,-0.015094,1.006445,1521533647.954731
NA,NA,NA,-0.135660,-0.016520,0.998754,1521533647.959733
NA,NA,NA,-0.130324,-0.012125,0.999152,1521533647.964735
NA,NA,NA,-0.118434,-0.016117,1.008477,1521533647.969749
NA,NA,NA,-0.114480,-0.015449,0.994043,1521533647.974751
NA,NA,NA,-0.101715,-0.019809,1.010996,1521533647.979764
NA,NA,NA,-0.092098,-0.021051,1.002551,1521533647.984765
NA,NA,NA,-0.084402,-0.011984,1.011840,1521533647.989860
NA,NA,NA,-0.080797,-0.011855,0.998301,1521533647.995199
NA,NA,NA,-0.066609,-0.011578,1.007645,1521533648.000211
NA,NA,NA,-0.058086,-0.015781,1.007887,1521533648.005211
NA,NA,NA,-0.050980,-0.012234,1.005770,1521533648.010220
NA,NA,NA,-0.039410,-0.013621,1.010262,1521533648.015225
NA,NA,NA,-0.031098,-0.011484,1.006035,1521533648.020236
NA,NA,NA,-0.021121,-0.011125,1.010676,1521533648.025245
NA,NA,NA,-0.016316,-0.010582,1.001656,1521533648.030260
NA,NA,NA,-0.003605,-0.010051,1.012137,1521533648.035278
NA,NA,NA,0.006246,-0.015668,1.007895,1521533648.040282
NA,NA,NA,0.013734,-0.011738,1.010273,1521533648.045288
NA,NA,NA,0.021523,-0.012805,1.008699,1521533648.050298
NA,NA,NA,0.027113,-0.008949,1.009477,1521533648.055309
NA,NA,NA,0.032352,-0.009719,1.006336,1521533648.060314
NA,NA,NA,0.044867,-0.008824,1.016156,1521533648.065314
NA,NA,NA,0.050855,-0.011152,1.012563,1521533648.070329
NA,NA,NA,0.057473,-0.008484,1.008406,1521533648.075330
NA,NA,NA,0.061738,-0.011813,1.006863,1521533648.080340
NA,NA,NA,0.066984,-0.008141,1.007391,1521533648.085342
NA,NA,NA,0.075195,-0.013199,1.013246,1521533648.090343
NA,NA,NA,0.077723,-0.006113,1.011316,1521533648.095344
NA,NA,NA,0.084289,-0.009277,1.014707,1521533648.100349
NA,NA,NA,0.084086,-0.009410,1.005383,1521533648.105355
NA,NA,NA,0.092641,-0.010082,1.013102,1521533648.110363
NA,NA,NA,0.093617,-0.012887,1.016508,1521533648.115365
NA,NA,NA,0.090254,-0.005980,1.007738,1521533648.120381
NA,NA,NA,0.095625,-0.009062,1.012594,1521533648.125399
NA,NA,NA,0.094820,-0.010453,1.012312,1521533648.130400
NA,NA,NA,0.096785,-0.010559,1.016664,1521533648.135414
NA,NA,NA,0.093988,-0.006848,1.012613,1521533648.140421
