x_voltage,y_voltage,z_voltage,x_gvalue,y_gvalue,z_gvalue,time
NA,NA,NA,-0.992664,-0.129199,-0.156734,1521534674.147274
NA,NA,NA,-0.992746,-0.128609,-0.150949,1521534674.152286
NA,NA,NA,-0.994184,-0.129891,-0.145781,1521534674.157289
NA,NA,NA,-0.992121,-0.128656,-0.139410,1521534674.162301
NA,NA,NA,-0.991055,-0.129422,-0.132660,1521534674.167317
NA,NA,NA,-0.990656,-0.130664,-0.122332,1521534674.172318
NA,NA,NA,-0.994879,-0.130074,-0.119113,1521534674.177324
NA,NA,NA,-0.994043,-0.128457,-0.108148,1521534674.182332
NA,NA,NA,-0.992684,-0.130086,-0.100105,1521534674.187336
NA,NA,NA,-0.994258,-0.128203,-0.091660,1521534674.192348
NA,NA,NA,-0.994398,-0.129023,-0.084164,1521534674.197353
NA,NA,NA,-0.995645,-0.127512,-0.076707,1521534674.202368
NA,NA,NA,-0.993383,-0.129426,-0.066852,1521534674.207384
NA,NA,NA,-0.994781,-0.126125,-0.056895,1521534674.212396
NA,NA,NA,-0.994000,-0.129129,-0.045613,1521534674.217413
NA,NA,NA,-0.996305,-0.127363,-0.039164,1521534674.222421
NA,NA,NA,-0.995824,-0.127824,-0.027438,1521534674.227427
NA,NA,NA,-0.996895,-0.127148,-0.019555,1521534674.232437
NA,NA,NA,-0.996793,-0.127129,-0.010125,1521534674.237451
NA,NA,NA,-0.996363,-0.128621,-0.002598,1521534674.242465
NA,NA,NA,-0.996586,-0.127848,0.009145,1521534674.247471
NA,NA,NA,-0.998684,-0.125766,0.016426,1521534674.252484
NA,NA,NA,-0.998543,-0.125824,0.024230,1521534674.257496
NA,NA,NA,-0.997918,-0.126645,0.031871,1521534674.262499
NA,NA,NA,-0.997797,-0.126199,0.040469,1521534674.267507
NA,NA,NA,-0.998918,-0.126770,0.046020,1521534674.272517
NA,NA,NA,-0.999047,-0.126199,0.058051,1521534674.277524
NA,NA,NA,-0.998566,-0.125426,0.064414,1521534674.282538
NA,NA,NA,-0.998332,-0.125723,0.068906,1521534674.287538
NA,NA,NA,-1.000336,-0.126477,0.077039,1521534674.292542
NA,NA,NA,-0.999957,-0.125652,0.081844,1521534674.297543
NA,NA,NA,-1.000133,-0.125672,0.088910,1521534674.302549
NA,NA,NA,-0.999289,-0.124617,0.094266,1521534674.307551
NA,NA,NA,-1.000363,-0.123480,0.099855,1521534674.312558
NA,NA,NA,-1.001133,-0.124008,0.101047,1521534674.317569
NA,NA,NA,-0.999715,-0.125508,0.104988,1521534674.322584
NA,NA,NA,-1.001227,-0.124934,0.107660,1521534674.327585
NA,NA,NA,-1.001156,-0.124492,0.111063,1521534674.332804
NA,NA,NA,-1.002086,-0.124898,0.113012,1521534674.337819
NA,NA,NA,-1.001535,-0.124094,0.112523,1521534674.342823
NA,NA,NA,-1.000777,-0.123633,0.114687,1521534674.347839
NA,NA,NA,-1.001437,-0.123926,0.112660,1521534674.352841
NA,NA,NA,-1.001695,-0.125035,0.113832,1521534674.357853
NA,NA,NA,-1.000668,-0.124559,0.112035,1521534674.362856
NA,NA,NA,-1.000754,-0.124496,0.110367,1521534674.367862
NA,NA,NA,-1.000117,-0.125445,0.107035,1521534674.372874
NA,NA,NA,-1.000387,-0.125398,0.105508,1521534674.377892
NA,NA,NA,-0.999859,-0.127035,0.103719,1521534674.382902
NA,NA,NA,-1.001617,-0.123871,0.096656,1521534674.387902
NA,NA,NA,-0.999668,-0.125164,0.091168,1521534674.392918
NA,NA,NA,-1.000398,-0.126977,0.086820,1521534674.397933
NA,NA,NA,-0.999281,-0.125887,0.081852,1521534674.402941
NA,NA,NA,-0.999922,-0.125191,0.075262,1521534674.407949
NA,NA,NA,-1.000125,-0.126910,0.070242,1521534674.412959
NA,NA,NA,-0.998648,-0.125547,0.063480,1521534674.417968
NA,NA,NA,-0.999094,-0.124840,0.056379,1521534674.422980
NA,NA,NA,-0.999855,-0.124824,0.047484,1521534674.427986
NA,NA,NA,-0.998355,-0.127961,0.041270,1521534674.432999
NA,NA,NA,-0.997867,-0.125742,0.032500,1521534674.438008
NA,NA,NA,-0.996957,-0.125793,0.024082,1521534674.443014
NA,NA,NA,-0.997223,-0.126367,0.010723,1521534674.448018
NA,NA,NA,-0.996531,-0.128500,0.006340,1521534674.453034
NA,NA,NA,-0.996320,-0.129598,0.000043,1521534674.458041
NA,NA,NA,-0.996520,-0.127750,-0.013383,1521534674.463044
NA,NA,NA,-0.995465,-0.128062,-0.019922,1521534674.468058
NA,NA,NA,-0.996434,-0.126719,-0.033320,1521534674.473059
NA,NA,NA,-0.995711,-0.128113,-0.039969,1521534674.478070
NA,NA,NA,-0.995566,-0.128645,-0.048672,1521534674.483084
NA,NA,NA,-0.995258,-0.129879,-0.056750,1521534674.488305
NA,NA,NA,-0.994402,-0.128441,-0.066930,1521534674.493314
NA,NA,NA,-0.995031,-0.128117,-0.075629,1521534674.498324
NA,NA,NA,-0.994840,-0.128672,-0.087676,1521534674.503332
NA,NA,NA,-0.993902,-0.129125,-0.093355,1521534674.508344
NA,NA,NA,-0.992906,-0.128953,-0.101828,1521534674.513358
NA,NA,NA,-0.992406,-0.129348,-0.109449,1521534674.518373
NA,NA,NA,-0.993090,-0.129516,-0.120586,1521534674.523661
NA,NA,NA,-0.993844,-0.130738,-0.124727,1521534674.528677
NA,NA,NA,-0.991828,-0.129387,-0.133934,1521534674.533689
NA,NA,NA,-0.991168,-0.129445,-0.138473,1521534674.538691
