x_voltage,y_voltage,z_voltage,x_gvalue,y_gvalue,z_gvalue,time
NA,NA,NA,-0.001590,0.211480,1.010684,1521532216.744892
NA,NA,NA,0.002230,0.327937,1.014043,1521532216.749963
NA,NA,NA,0.002078,0.410895,1.007020,1521532216.754969
NA,NA,NA,-0.000789,0.472426,1.008500,1521532216.759981
NA,NA,NA,0.002219,0.500773,1.010391,1521532216.764992
NA,NA,NA,0.005090,0.503148,1.018891,1521532216.769997
NA,NA,NA,0.003418,0.471836,1.015523,1521532216.775002
NA,NA,NA,-0.000496,0.411961,1.013062,1521532216.780017
NA,NA,NA,-0.000230,0.317937,1.003434,1521532216.785017
NA,NA,NA,-0.000031,0.206742,1.009316,1521532216.790031
NA,NA,NA,-0.000176,0.087180,1.012879,1521532216.795042
NA,NA,NA,-0.002895,-0.043563,1.009180,1521532216.800052
NA,NA,NA,-0.006586,-0.169047,1.004809,1521532216.805060
NA,NA,NA,-0.009602,-0.285523,0.998437,1521532216.810072
NA,NA,NA,-0.009531,-0.387133,0.998195,1521532216.815074
NA,NA,NA,-0.007039,-0.462234,1.007203,1521532216.820088
NA,NA,NA,-0.010941,-0.501223,1.005953,1521532216.825090
NA,NA,NA,-0.012945,-0.515750,0.999984,1521532216.830093
NA,NA,NA,-0.013453,-0.501961,0.996500,1521532216.835103
NA,NA,NA,-0.011906,-0.455551,0.999020,1521532216.840105
NA,NA,NA,-0.010438,-0.378238,1.003645,1521532216.845106
NA,NA,NA,-0.006797,-0.277953,1.007613,1521532216.850119
NA,NA,NA,-0.006512,-0.161430,1.005871,1521532216.855126
NA,NA,NA,-0.007109,-0.029844,1.003859,1521532216.860133
NA,NA,NA,-0.002309,0.095422,1.008098,1521532216.865136
NA,NA,NA,-0.000660,0.214777,1.010332,1521532216.870146
NA,NA,NA,-0.000645,0.326133,1.012734,1521532216.875159
NA,NA,NA,0.004895,0.411566,1.015852,1521532216.880167
NA,NA,NA,0.001625,0.472801,1.013156,1521532216.885175
NA,NA,NA,0.002996,0.504609,1.010762,1521532216.890187
NA,NA,NA,0.003203,0.499027,1.010387,1521532216.895202
NA,NA,NA,0.004160,0.468457,1.016414,1521532216.900205
NA,NA,NA,0.001457,0.402910,1.010445,1521532216.905210
NA,NA,NA,0.000617,0.318449,1.012477,1521532216.910219
NA,NA,NA,-0.003352,0.204879,1.004176,1521532216.915226
NA,NA,NA,-0.000102,0.078000,1.009215,1521532216.920231
NA,NA,NA,-0.004746,-0.048383,1.007395,1521532216.925237
NA,NA,NA,-0.005094,-0.170496,1.007094,1521532216.930249
NA,NA,NA,-0.008215,-0.287383,1.003996,1521532216.935256
NA,NA,NA,-0.011879,-0.384105,1.005027,1521532216.940261
NA,NA,NA,-0.012020,-0.463441,0.996703,1521532216.945269
NA,NA,NA,-0.011027,-0.506867,1.002270,1521532216.950274
NA,NA,NA,-0.010969,-0.522945,1.004301,1521532216.955283
NA,NA,NA,-0.013082,-0.497660,1.003477,1521532216.960285
NA,NA,NA,-0.012699,-0.451844,1.003898,1521532216.965292
NA,NA,NA,-0.011125,-0.375238,0.998559,1521532216.970292
NA,NA,NA,-0.009387,-0.275750,1.003059,1521532216.975306
NA,NA,NA,-0.006199,-0.152699,1.007137,1521532216.980321
NA,NA,NA,-0.004008,-0.031102,1.010094,1521532216.985321
NA,NA,NA,-0.002402,0.102258,1.010445,1521532216.990336
NA,NA,NA,-0.002855,0.224012,1.006176,1521532216.995336
NA,NA,NA,0.002766,0.330145,1.008902,1521532217.000342
NA,NA,NA,0.001926,0.414645,1.013371,1521532217.005344
NA,NA,NA,0.005211,0.472102,1.015809,1521532217.010346
NA,NA,NA,0.003180,0.506414,1.018355,1521532217.015351
NA,NA,NA,0.001410,0.499660,1.009887,1521532217.020364
NA,NA,NA,0.003660,0.469078,1.008891,1521532217.025378
NA,NA,NA,0.003051,0.397047,1.011836,1521532217.030383
NA,NA,NA,-0.000109,0.310289,1.011332,1521532217.035386
NA,NA,NA,0.000652,0.200594,1.010215,1521532217.040401
NA,NA,NA,-0.002699,0.081168,1.007359,1521532217.045405
NA,NA,NA,-0.004191,-0.049742,1.004172,1521532217.050416
NA,NA,NA,-0.007691,-0.174473,1.004117,1521532217.055430
NA,NA,NA,-0.006262,-0.300426,1.005035,1521532217.060441
NA,NA,NA,-0.009969,-0.389164,1.006992,1521532217.065454
NA,NA,NA,-0.007559,-0.464168,1.004035,1521532217.070460
NA,NA,NA,-0.013164,-0.506855,0.998211,1521532217.075466
NA,NA,NA,-0.010172,-0.521383,0.997879,1521532217.080467
NA,NA,NA,-0.012949,-0.501219,1.000336,1521532217.085477
NA,NA,NA,-0.011457,-0.449871,1.006766,1521532217.090482
NA,NA,NA,-0.009383,-0.367805,1.003133,1521532217.095491
NA,NA,NA,-0.007098,-0.270809,1.005148,1521532217.100502
NA,NA,NA,-0.010648,-0.151977,0.999258,1521532217.105511
NA,NA,NA,-0.004559,-0.022664,1.005047,1521532217.110524
NA,NA,NA,-0.002973,0.108598,1.010945,1521532217.115537
NA,NA,NA,0.001113,0.229098,1.014398,1521532217.120538
NA,NA,NA,-0.000473,0.337152,1.008387,1521532217.125549
NA,NA,NA,0.002340,0.419668,1.011070,1521532217.130550
NA,NA,NA,0.000230,0.471184,1.006586,1521532217.135553
NA,NA,NA,0.006234,0.504668,1.019270,1521532217.140564
NA,NA,NA,0.005984,0.501672,1.013422,1521532217.145576
NA,NA,NA,0.003461,0.470641,1.015699,1521532217.150589
NA,NA,NA,0.000371,0.396707,1.004016,1521532217.155592
NA,NA,NA,0.000426,0.309664,1.008898,1521532217.160593
NA,NA,NA,-0.002145,0.195797,1.006973,1521532217.165598
NA,NA,NA,0.000941,0.073121,1.016078,1521532217.170606
NA,NA,NA,-0.005871,-0.053535,1.004102,1521532217.175609
NA,NA,NA,-0.005285,-0.184988,1.004934,1521532217.180618
NA,NA,NA,-0.011309,-0.294359,0.995574,1521532217.185630
NA,NA,NA,-0.006301,-0.397949,1.004742,1521532217.190640
NA,NA,NA,-0.010676,-0.463859,1.002426,1521532217.195643
NA,NA,NA,-0.009277,-0.508938,1.006367,1521532217.200648
NA,NA,NA,-0.012938,-0.518176,0.998871,1521532217.205662
NA,NA,NA,-0.010785,-0.501152,0.999457,1521532217.210663
NA,NA,NA,-0.010098,-0.449855,0.999289,1521532217.215674
NA,NA,NA,-0.008066,-0.370836,1.008359,1521532217.220674
NA,NA,NA,-0.008129,-0.269508,1.005176,1521532217.225680
NA,NA,NA,-0.004531,-0.145402,1.007844,1521532217.230695
NA,NA,NA,-0.006820,-0.017336,1.001066,1521532217.235707
NA,NA,NA,-0.002934,0.108063,1.007805,1521532217.240710
NA,NA,NA,0.001094,0.225930,1.009570,1521532217.245724
NA,NA,NA,-0.000242,0.338773,1.014398,1521532217.250733
NA,NA,NA,0.004613,0.422457,1.015977,1521532217.255743
NA,NA,NA,0.001977,0.479789,1.008063,1521532217.260746
NA,NA,NA,0.004594,0.502578,1.011523,1521532217.265747
NA,NA,NA,0.003855,0.499168,1.012945,1521532217.270754
NA,NA,NA,0.002730,0.458961,1.016301,1521532217.275770
NA,NA,NA,0.002852,0.397777,1.016402,1521532217.280772
NA,NA,NA,-0.001000,0.303355,1.008293,1521532217.285785
NA,NA,NA,-0.000738,0.188832,1.005594,1521532217.290787
NA,NA,NA,-0.001684,0.063848,1.004414,1521532217.295795
NA,NA,NA,-0.004492,-0.058617,1.010004,1521532217.300799
NA,NA,NA,-0.007074,-0.183742,1.003977,1521532217.305804
NA,NA,NA,-0.008168,-0.300508,1.003809,1521532217.310805
NA,NA,NA,-0.010789,-0.399105,0.998238,1521532217.315817
NA,NA,NA,-0.009891,-0.468711,1.002281,1521532217.320821
NA,NA,NA,-0.012488,-0.512668,1.000051,1521532217.325836
NA,NA,NA,-0.009328,-0.519086,1.007883,1521532217.330844
NA,NA,NA,-0.015336,-0.500375,1.000172,1521532217.335855
NA,NA,NA,-0.008406,-0.442703,1.006367,1521532217.340869
NA,NA,NA,-0.010668,-0.365637,0.997324,1521532217.345874
NA,NA,NA,-0.008637,-0.259363,1.007488,1521532217.350880
NA,NA,NA,-0.005227,-0.148172,1.004715,1521532217.355889
NA,NA,NA,-0.002758,-0.013922,1.013000,1521532217.360894
NA,NA,NA,-0.000996,0.111117,1.007336,1521532217.365902
NA,NA,NA,-0.001578,0.238063,1.008492,1521532217.370905
NA,NA,NA,0.000531,0.338609,1.007039,1521532217.375911
NA,NA,NA,0.002227,0.421281,1.011121,1521532217.380921
NA,NA,NA,0.004746,0.481957,1.018961,1521532217.385928
NA,NA,NA,0.003211,0.504246,1.010566,1521532217.390935
NA,NA,NA,0.005602,0.503129,1.015656,1521532217.395941
NA,NA,NA,-0.000797,0.459727,1.004828,1521532217.400944
NA,NA,NA,0.004055,0.391695,1.014859,1521532217.405944
NA,NA,NA,0.000180,0.298809,1.011910,1521532217.410951
NA,NA,NA,0.000797,0.183305,1.014391,1521532217.415951
NA,NA,NA,-0.003730,0.069152,1.007391,1521532217.420968
NA,NA,NA,-0.006852,-0.063578,1.002711,1521532217.425972
NA,NA,NA,-0.006301,-0.193812,1.005203,1521532217.430984
NA,NA,NA,-0.008996,-0.308930,1.003430,1521532217.435991
NA,NA,NA,-0.006371,-0.397367,1.009582,1521532217.441000
NA,NA,NA,-0.009918,-0.470781,1.000785,1521532217.446003
NA,NA,NA,-0.012059,-0.507543,1.001625,1521532217.451005
NA,NA,NA,-0.013031,-0.525129,0.996242,1521532217.456005
NA,NA,NA,-0.008520,-0.498238,1.006211,1521532217.461006
NA,NA,NA,-0.009070,-0.445719,1.004613,1521532217.466006
NA,NA,NA,-0.011562,-0.358148,1.007539,1521532217.471010
NA,NA,NA,-0.010598,-0.261594,0.997598,1521532217.476013
NA,NA,NA,-0.006109,-0.141738,1.005664,1521532217.481024
NA,NA,NA,-0.006340,-0.007051,1.002449,1521532217.486038
NA,NA,NA,-0.001051,0.117578,1.013750,1521532217.491051
NA,NA,NA,0.000441,0.240512,1.010574,1521532217.496057
NA,NA,NA,-0.000133,0.343629,1.010676,1521532217.501062
NA,NA,NA,0.002660,0.424859,1.009727,1521532217.506066
NA,NA,NA,0.004359,0.477887,1.012586,1521532217.511072
NA,NA,NA,0.001883,0.507730,1.015492,1521532217.516080
NA,NA,NA,0.006723,0.496102,1.015793,1521532217.521085
NA,NA,NA,0.001840,0.462691,1.013152,1521532217.526097
NA,NA,NA,0.002957,0.387176,1.008105,1521532217.531105
NA,NA,NA,-0.001563,0.299766,1.007156,1521532217.536108
NA,NA,NA,0.002207,0.182730,1.009313,1521532217.541112
NA,NA,NA,-0.002785,0.058734,1.012859,1521532217.546122
NA,NA,NA,-0.004004,-0.067250,1.005750,1521532217.551135
NA,NA,NA,-0.007004,-0.192730,1.005059,1521532217.556141
NA,NA,NA,-0.011680,-0.305656,0.994578,1521532217.561148
NA,NA,NA,-0.004797,-0.406238,1.005602,1521532217.566149
NA,NA,NA,-0.011242,-0.471262,1.003066,1521532217.571154
NA,NA,NA,-0.007988,-0.512430,1.007688,1521532217.576155
NA,NA,NA,-0.014684,-0.513625,0.998285,1521532217.581155
NA,NA,NA,-0.012762,-0.495633,0.997602,1521532217.586168
NA,NA,NA,-0.010480,-0.441742,1.005340,1521532217.591172
NA,NA,NA,-0.011457,-0.361398,1.002633,1521532217.596181
NA,NA,NA,-0.006555,-0.252379,1.011609,1521532217.601181
NA,NA,NA,-0.008215,-0.132516,1.004773,1521532217.606183
NA,NA,NA,-0.007680,-0.004594,1.007219,1521532217.611192
NA,NA,NA,-0.004043,0.119512,1.004066,1521532217.616207
NA,NA,NA,0.001086,0.239906,1.015785,1521532217.621211
NA,NA,NA,0.002832,0.341230,1.012820,1521532217.626213
NA,NA,NA,0.003789,0.430805,1.015937,1521532217.631224
NA,NA,NA,0.001273,0.484199,1.006801,1521532217.636237
NA,NA,NA,0.003816,0.503324,1.012051,1521532217.641238
NA,NA,NA,0.003191,0.496035,1.008941,1521532217.646252
NA,NA,NA,0.003980,0.457895,1.016781,1521532217.651267
NA,NA,NA,0.001871,0.390246,1.012883,1521532217.656279
NA,NA,NA,0.001680,0.290758,1.010059,1521532217.661286
NA,NA,NA,-0.001523,0.179051,1.002680,1521532217.666288
