x_voltage,y_voltage,z_voltage,x_gvalue,y_gvalue,z_gvalue,time
NA,NA,NA,-0.003586,-0.040133,1.007551,1521530977.260060
NA,NA,NA,-0.003703,-0.042266,1.008250,1521530977.265074
NA,NA,NA,-0.003207,-0.038809,1.002871,1521530977.270083
NA,NA,NA,-0.004844,-0.047371,1.007145,1521530977.275093
NA,NA,NA,-0.004844,-0.042512,1.003137,1521530977.280103
NA,NA,NA,-0.001723,-0.049594,1.010633,1521530977.285115
NA,NA,NA,-0.002777,-0.044391,1.009488,1521530977.290121
NA,NA,NA,-0.005949,-0.044906,1.004895,1521530977.295126
NA,NA,NA,-0.002816,-0.049969,1.006051,1521530977.300138
NA,NA,NA,-0.004156,-0.049508,1.002164,1521530977.305146
NA,NA,NA,-0.002297,-0.052312,1.011102,1521530977.310159
NA,NA,NA,-0.004273,-0.045711,1.007320,1521530977.315165
NA,NA,NA,-0.002906,-0.049219,1.008676,1521530977.320175
NA,NA,NA,-0.003512,-0.049887,1.001094,1521530977.325186
NA,NA,NA,-0.003297,-0.054930,1.001875,1521530977.330200
NA,NA,NA,-0.004777,-0.053965,1.007754,1521530977.335205
NA,NA,NA,-0.002648,-0.050250,1.011500,1521530977.340211
NA,NA,NA,-0.002016,-0.053219,1.009094,1521530977.345213
NA,NA,NA,-0.003836,-0.052363,1.002492,1521530977.350228
NA,NA,NA,-0.005398,-0.054660,1.002910,1521530977.355241
NA,NA,NA,-0.003793,-0.058453,1.005375,1521530977.360250
NA,NA,NA,-0.001844,-0.055570,1.011832,1521530977.365260
NA,NA,NA,-0.002473,-0.054582,1.004254,1521530977.370269
NA,NA,NA,-0.005023,-0.051969,1.005605,1521530977.375270
NA,NA,NA,-0.004176,-0.060246,1.004547,1521530977.380274
NA,NA,NA,-0.003777,-0.056668,1.003832,1521530977.385316
NA,NA,NA,-0.002977,-0.059313,1.009699,1521530977.390326
NA,NA,NA,-0.003027,-0.055004,1.006758,1521530977.395334
NA,NA,NA,-0.003816,-0.056777,1.003332,1521530977.400339
NA,NA,NA,-0.004687,-0.057324,1.004535,1521530977.405344
NA,NA,NA,-0.003363,-0.056719,1.004883,1521530977.410351
NA,NA,NA,-0.000996,-0.060070,1.008828,1521530977.415362
NA,NA,NA,-0.005496,-0.054582,1.007754,1521530977.420376
NA,NA,NA,-0.004387,-0.058824,1.006746,1521530977.425391
NA,NA,NA,-0.005687,-0.055836,1.003676,1521530977.430402
NA,NA,NA,-0.003078,-0.060660,1.004156,1521530977.435427
NA,NA,NA,-0.001895,-0.057242,1.010777,1521530977.440435
NA,NA,NA,-0.004027,-0.058508,1.005809,1521530977.445446
NA,NA,NA,-0.003176,-0.054215,1.006512,1521530977.450455
NA,NA,NA,-0.006965,-0.058770,1.001656,1521530977.455466
NA,NA,NA,-0.001664,-0.057191,1.005500,1521530977.460469
NA,NA,NA,-0.004859,-0.058906,1.008027,1521530977.465471
NA,NA,NA,-0.004535,-0.054082,1.010207,1521530977.470481
NA,NA,NA,-0.001961,-0.056258,1.008188,1521530977.475490
NA,NA,NA,-0.003172,-0.054695,1.004285,1521530977.480532
NA,NA,NA,-0.005473,-0.053766,1.004074,1521530977.485540
NA,NA,NA,-0.002652,-0.059676,1.006223,1521530977.490547
NA,NA,NA,-0.003117,-0.051578,1.012512,1521530977.495561
NA,NA,NA,-0.005086,-0.052934,1.006484,1521530977.500568
NA,NA,NA,-0.005273,-0.052270,1.006219,1521530977.505578
NA,NA,NA,-0.003652,-0.054129,1.002141,1521530977.510587
NA,NA,NA,-0.001141,-0.054082,1.006199,1521530977.515600
NA,NA,NA,-0.002305,-0.052184,1.008633,1521530977.520877
NA,NA,NA,-0.003285,-0.049051,1.009270,1521530977.525888
NA,NA,NA,-0.006289,-0.046480,1.004676,1521530977.530899
NA,NA,NA,-0.002891,-0.050988,1.007445,1521530977.535909
NA,NA,NA,-0.004250,-0.047309,1.006973,1521530977.540923
NA,NA,NA,-0.001836,-0.050445,1.007465,1521530977.545924
NA,NA,NA,-0.005613,-0.044234,1.007961,1521530977.550924
NA,NA,NA,-0.002172,-0.048043,1.010359,1521530977.555927
NA,NA,NA,-0.004371,-0.041941,1.002047,1521530977.560942
NA,NA,NA,-0.003246,-0.049289,1.007969,1521530977.565943
NA,NA,NA,-0.005070,-0.042340,1.009062,1521530977.570951
NA,NA,NA,-0.001594,-0.044762,1.008922,1521530977.575955
NA,NA,NA,-0.002980,-0.040102,1.010238,1521530977.580967
NA,NA,NA,-0.003230,-0.043391,1.007777,1521530977.585968
NA,NA,NA,-0.005082,-0.037656,1.005313,1521530977.590972
NA,NA,NA,-0.003629,-0.042816,1.002629,1521530977.595981
NA,NA,NA,-0.001434,-0.038609,1.012137,1521530977.600984
NA,NA,NA,-0.002660,-0.036777,1.008152,1521530977.605987
NA,NA,NA,-0.002855,-0.036586,1.003090,1521530977.611587
NA,NA,NA,-0.004199,-0.029078,1.001828,1521530977.616592
